,kategori,kategori_kod
596,arcelik/termosifonlar,17769.0
597,dijitsu/vantilatorler,17412.0
598,raks/vantilatorler,17412.0
599,fakir/vantilatorler,17412.0
600,rubenis/vantilatorler,17412.0
601,goldmaster/vantilatorler,17412.0
602,cvs/vantilatorler,17412.0
603,ufo/vantilatorler,17412.0
604,infrared-isiticilar,80081036.0
605,yagli-radyator,80081037.0
606,quartz-soba,80081038.0
607,fanli-isiticilar,80081039.0
608,utuler,155122.0
609,buhar-kazanli-utu,80162057.0
610,utuler,155122.0
611,utuler,155122.0
612,toz-torbasiz-supurge,80160030.0
613,toz-torbali-supurge,80160029.0
614,supurgeler,155123.0
615,dikey-supurge,80160032.0
616,sarjli-supurgeler,159445.0
617,robot-supurge,80160033.0
618,hali-yikama-makinalari,17793.0
619,supurge-aksesuarlari,17712.0
620,tiras-makineleri,26012156.0
621,sac-sakal-kesme-tuy-temizleme-makineleri,26012161.0
622,tiras-makinesi-yedek-parcalari,80433054.0
623,sac-kurutma-makineleri,26012128.0
624,sac-sekillendirme-cihazlari,26012129.0
625,sac-sekillendirme-cihazlari,26012129.0
626,sac-sekillendirme-cihazlari,26012129.0
627,tiras-makinesi-yedek-parcalari,80433054.0
628,supurge-aksesuarlari,17712.0
629,supurge-aksesuarlari,17712.0
630,elektrikli-mutfak-aleti-yedek-parca-aksesuarlari,80168015.0
631,elektrikli-mutfak-aleti-yedek-parca-aksesuarlari,80168015.0
632,elektrikli-mutfak-aleti-yedek-parca-aksesuarlari,80168015.0
633,epilatorler,26012145.0
634,ipl-lazerler,60003905.0
635,epilator-basliklari-ve-yedek-parcalari,80552165.0
636,cay-makineleri,22005.0
637,kahve-makineleri,22348.0
638,blenderlar,22003.0
639,meyve-sikacaklari,22020.0
640,su-isiticilar,22027.0
641,soda-makinesi,60005961.0
642,blenderlar,22003.0
643,mutfak-sefi,232495.0
644,dograyicilar-rondolar,22008.0
645,kiyma-makineleri,22018.0
646,mikserler,22022.0
647,mutfak-robotlari,22025.0
648,yogurt-makineleri,232334.0
649,mutfak-tartilari,60003748.0
650,tost-makineleri,22014.0
651,fritozler,22017.0
652,mini-midi-firinlar,233088.0
653,buharli-pisiriciler,231596.0
654,elektrikli-izgara-barbekuler,22013.0
655,elektrikli-tencere-tavalar,232541.0
656,ekmek-kizarticilar,22009.0
657,ekmek-yapma-makineleri,22276.0
658,misir-patlatma-makineleri,22056.0
659,waffle-makineleri,231689.0
660,yumurta-pisirme-cihazlari,17003942.0
661,ozel-mutfak-aletleri,60002403.0
662,endustriyel-mutfak-urunleri,60003096.0
663,elektrikli-mutfak-aleti-yedek-parca-aksesuarlari,80168015.0
664,cay-makineleri,22005.0
665,kahve-makineleri,22348.0
666,canon/slr-fotograf-makineleri,1100301.0
667,nikon/slr-fotograf-makineleri,1100301.0
668,sony/slr-fotograf-makineleri,1100301.0
669,canon/dijital-fotograf-makineleri,248.0
670,nikon/dijital-fotograf-makineleri,248.0
671,samsung/dijital-fotograf-makineleri,248.0
672,sony/dijital-fotograf-makineleri,248.0
673,panasonic/dijital-fotograf-makineleri,248.0
674,kodak/dijital-fotograf-makineleri,248.0
675,grundig-olympus/dijital-fotograf-makineleri,248.0
676,gopro/aksiyon-kameralari,22018092.0
677,dji/aksiyon-kameralari,22018092.0
678,sony/aksiyon-kameralari,22018092.0
679,sjcam/aksiyon-kameralari,22018092.0
680,eken/aksiyon-kameralari,22018092.0
681,dji/drone-multikopter,60006033.0
682,corby/drone-multikopter,60006033.0
683,aden/drone-multikopter,60006033.0
684,lensler-filtreler,60002058.0
685,hafiza-karti-kart-okuyuculari,60002059.0
686,fotograf-makinesi-cantalari,81481.0
687,pil-sarj-cihazlari,87951.0
688,dijital-fotograf-cerceveleri,90334.0
689,sabitleyiciler-tripod,86399.0
690,video-kamera-bos-kaset-dvd,1100003.0
691,slr-aksesuarlari,60003821.0
692,panasonic/aynasiz-kompakt-slr-makineler,60002029.0
693,samsung/aynasiz-kompakt-slr-makineler,60002029.0
694,olympus/aynasiz-kompakt-slr-makineler,60002029.0
695,fujifilm/aynasiz-kompakt-slr-makineler,60002029.0
696,sony-nikon/aynasiz-kompakt-slr-makineler,60002029.0
697,sony/video-kameralar,17076.0
698,samsung-asonic/video-kameralar,17076.0
699,gps-cihazlari-el-tipi,1303494.0
700,teleskop-aksesuarlari,354988.0
701,durbunler,354989.0
702,fenerler,356609.0
703,spotting-scope,22014181.0
704,playstation-5-konsol,80757006.0
705,playstation-5-oyunlari,80757007.0
706,ps-5-aksesuarlari,80757008.0
707,playstation-4-konsollari,60003892.0
708,playstation-4-oyunlari,60003893.0
709,playstation-4-aksesuarlari,60004080.0
710,playstation-3-konsollari,1200413.0
711,playstation-3-oyunlari,1200412.0
712,playstation-3-aksesuarlari,1200698.0
713,psp-oyunlari,1204495.0
714,psp-aksesuarlar,1204496.0
715,nintendo-konsol,80229024.0
716,nintendo-oyunlari,33000024.0
717,nintendo-aksesuarlari,1201454.0
718,xbox-series-x-konsol,80766001.0
719,xbox-series-x-aksesuarlari,80766003.0
720,xbox-series-s-konsol,80766005.0
721,xbox-360,80229022.0
722,xbox-360-oyunlari,33000194.0
723,xbox-aksesuarlari,33000467.0
724,xbox-konsollari,33000465.0
725,xbox-one-oyunlari,33000443.0
